Terms,Freq,Posting,Compress Posting,Gamma Code
acima,35,"[0, 1, 3, 4, 5, 6, 49, 52, 53, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[0, 1, 2, 1, 1, 1, 43, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 22, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 100, 0, 0, 0, 11111001011, 101, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111100110, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
acom,10,"[82, 83, 84, 85, 86, 87, 88, 89, 90, 91]","[82, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110010010, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
acompanha,16,"[12, 14, 16, 20, 26, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 96]","[12, 2, 2, 4, 6, 23, 1, 1, 1, 1, 1, 1, 1, 1, 1, 38]","[1110100, 100, 100, 11000, 11010, 111100111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11111000110]"
acompanhar,22,"[7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","[7, 2, 1, 1, 1, 1, 1, 1, 1, 1, 20, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11011, 100, 0, 0, 0, 0, 0, 0, 0, 0, 111100100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
acompanhe,20,"[17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58]","[17, 1, 1, 1, 1, 1, 1, 1, 1, 1, 23, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[111100001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111100111, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
acontecendo,11,"[7, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[7, 85, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11011, 1111110010101, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
acordo,14,"[9, 10, 11, 12, 13, 14, 15, 16, 59, 79, 80, 81, 84, 86]","[9, 1, 1, 1, 1, 1, 1, 1, 43, 20, 1, 1, 3, 2]","[1110001, 0, 0, 0, 0, 0, 0, 0, 11111001011, 111100100, 0, 0, 101, 100]"
acrescentar,12,"[1, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 95]","[1, 48, 1, 1, 1, 1, 1, 1, 1, 1, 1, 37]","[0, 11111010000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11111000101]"
action,11,"[82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 96]","[82, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5]","[1111110010010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11001]"
acumule,10,"[49, 50, 51, 52, 53, 54, 55, 56, 57, 58]","[49, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11111010001, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
acão,8,"[9, 10, 11, 12, 13, 14, 15, 16]","[9, 1, 1, 1, 1, 1, 1, 1]","[1110001, 0, 0, 0, 0, 0, 0, 0]"
adams,4,"[3, 5, 14, 94]","[3, 2, 9, 80]","[101, 100, 1110001, 1111110010000]"
adaptador,9,"[9, 10, 11, 12, 13, 14, 15, 16, 51]","[9, 1, 1, 1, 1, 1, 1, 1, 35]","[1110001, 0, 0, 0, 0, 0, 0, 0, 11111000011]"
addthis,11,"[71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81]","[71, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110000111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
adega,27,"[49, 52, 53, 55, 56, 57, 58, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[49, 3, 1, 2, 1, 1, 1, 24, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11111010001, 101, 0, 100, 0, 0, 0, 111101000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
adesivo,18,"[9, 10, 11, 12, 13, 14, 15, 16, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91]","[9, 1, 1, 1, 1, 1, 1, 1, 66, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1110001, 0, 0, 0, 0, 0, 0, 0, 1111110000010, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
adicionado,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
adicional,10,"[17, 18, 19, 20, 21, 22, 23, 24, 25, 26]","[17, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[111100001, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
adicionando,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
adicionar,55,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 83, 85, 86, 89, 90]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 33, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 3, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11111000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 100, 0, 101, 0]"
administrativo,13,"[11, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","[11, 26, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1110011, 111101010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
administração,51,"[9, 10, 11, 12, 13, 14, 15, 16, 23, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 61, 62, 64, 65, 66, 67, 68, 69, 70, 76, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[9, 1, 1, 1, 1, 1, 1, 1, 7, 14, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 13, 1, 2, 1, 1, 1, 1, 1, 1, 6, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1110001, 0, 0, 0, 0, 0, 0, 0, 11011, 1110110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1110101, 0, 100, 0, 0, 0, 0, 0, 0, 11010, 11010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
