word,Field Text,Freq,Posting,Compress Posting
323,volume.title,5,"[4, 6, 8, 54, 86]","[4, 2, 2, 46, 32]"
70,vozes.publishing,6,"[36, 37, 41, 57, 63, 88]","[36, 1, 4, 16, 6, 25]"
207,walcyr.author,1,[51],[51]
324,walcyr.title,1,[51],[51]
208,wallace.author,1,[16],[16]
209,walter.author,1,[10],[10]
325,wars.title,1,[16],[16]
210,weil.author,1,[41],[41]
211,winnicott.author,1,[71],[71]
212,xavier.author,1,[32],[32]
213,xico.author,1,[24],[24]
214,yoyo.author,1,[15],[15]
326,zimmerman.title,1,[86],[86]
327,zodíaco.title,1,[28],[28]
328,óleos.title,1,[49],[49]
329,único.title,1,[6],[6]
