word,Field Text,Freq,Posting,Compress Posting
40,bebê.title,1,[15],[15]
15,becard.author,1,[36],[36]
11,belas.publishing,1,[18],[18]
41,belas.title,1,[5],[5]
16,bernard.author,2,"[65, 85]","[65, 20]"
12,bertrand.publishing,3,"[5, 49, 84]","[5, 44, 35]"
17,bessa.author,1,[100],[100]
42,biografia.title,1,[10],[10]
43,black.title,1,[101],[101]
18,blakely.author,1,[99],[99]
13,blucher.publishing,2,"[40, 78]","[40, 38]"
19,boehner.author,1,[88],[88]
44,bolso.title,1,[68],[68]
20,books.author,1,[15],[15]
14,books.publishing,3,"[20, 77, 95]","[20, 57, 18]"
45,box.title,1,[1],[1]
21,brandemberg.author,1,[56],[56]
46,brandemberg.title,1,[56],[56]
1,brasil.language,1,[34],[34]
15,brasil.publishing,2,"[5, 84]","[5, 79]"
47,brasil.title,1,[36],[36]
48,brasileira.title,1,[43],[43]
49,brasileiros.title,1,[47],[47]
50,breve.title,1,[40],[40]
51,brochura.title,1,[11],[11]
22,brockway.author,1,[93],[93]
23,bráulio.author,1,[100],[100]
52,budas.title,1,[27],[27]
24,bueno.author,1,[22],[22]
53,busca.title,2,"[44, 57]","[44, 13]"
16,butterfly.publishing,1,[87],[87]
17,buzz.publishing,1,[101],[101]
25,byung.author,1,[63],[63]
54,cadete.title,1,[90],[90]
55,caibalion.title,1,[60],[60]
26,caio.author,1,[101],[101]
18,caminho.publishing,1,[68],[68]
56,campo.title,1,[57],[57]
57,cansaço.title,1,[63],[63]
58,capa.title,1,[45],[45]
59,capitão.title,1,[90],[90]
27,carneiro.author,1,[101],[101]
28,carrasco.author,1,[51],[51]
60,carrasco.title,1,[51],[51]
29,carroll.author,1,[9],[9]
61,cartas.title,1,[19],[19]
30,carvalho.author,1,[90],[90]
62,casa.title,1,[27],[27]
63,casmurro.title,1,[43],[43]
31,cass.author,1,[54],[54]
64,cass.title,1,[54],[54]
65,cavaleiros.title,1,[28],[28]
32,charles.author,1,[61],[61]
33,chul.author,1,[63],[63]
66,cinco.title,1,[82],[82]
67,cirurgias.title,1,[89],[89]
68,ciência.title,1,[48],[48]
69,ciúme.title,1,[42],[42]
70,classic.title,1,[9],[9]
71,coisa.title,1,[12],[12]
72,colapso.title,1,[34],[34]
73,coleção.title,1,[43],[43]
74,compacto.title,1,[11],[11]
19,companhia.publishing,2,"[4, 69]","[4, 65]"
75,completas.title,1,[4],[4]
76,comprovada.title,1,[23],[23]
77,computadores.title,1,[7],[7]
78,comunicação.title,1,[41],[41]
79,concentração.title,1,[57],[57]
80,confiar.title,1,[42],[42]
34,connie.author,1,[93],[93]
20,conrad.publishing,1,[17],[17]
81,contada.title,1,[19],[19]
82,contemporâneas.title,1,[44],[44]
83,contemporâneo.title,1,[36],[36]
84,contexto.title,1,[40],[40]
85,contrários.title,1,[15],[15]
86,cores.title,1,[15],[15]
35,cornelia.author,1,[94],[94]
36,cornwell.author,1,[85],[85]
87,coroa.title,1,[54],[54]
88,corpo.title,2,"[41, 49]","[41, 8]"
89,corrente.title,1,[83],[83]
90,cotoco.title,1,[2],[2]
91,crianças.title,1,[30],[30]
92,cristã.title,1,[88],[88]
93,cronicas.title,1,[24],[24]
94,crônicas.title,2,"[72, 85]","[72, 13]"
95,cthulhu.title,1,[6],[6]
96,cura.title,2,"[42, 48]","[42, 6]"
37,cyndi.author,1,[18],[18]
97,cyndi.title,1,[18],[18]
38,cândido.author,1,[32],[32]
98,cães.title,1,[22],[22]
99,dama.title,1,[93],[93]
39,daniel.author,1,[16],[16]
40,danielly.author,1,[36],[36]
100,desafio.title,1,[39],[39]
101,descalço.title,1,[45],[45]
102,dessa.title,1,[38],[38]
103,devem.title,1,[56],[56]
104,diabo.title,1,[59],[59]
105,diagnosticos.title,1,[74],[74]
21,didaticos.publishing,1,[47],[47]
106,ditosos.title,1,[27],[27]
107,diário.title,2,"[2, 66]","[2, 64]"
108,doctor.title,1,[3],[3]
109,documentos.title,1,[19],[19]
41,dona.author,1,[71],[71]
42,douglas.author,1,[14],[14]
110,doutores.title,1,[3],[3]
111,down.title,1,[7],[7]
43,drummond.author,1,[72],[72]
44,duhigg.author,1,[61],[61]
45,dunn.author,1,[18],[18]
112,dura.title,1,[45],[45]
46,duvivier.author,1,[24],[24]
22,edgard.publishing,2,"[40, 78]","[40, 38]"
113,edition.title,2,"[9, 101]","[9, 92]"
47,editora.author,1,[11],[11]
23,editora.publishing,5,"[30, 88, 91, 93, 101]","[30, 58, 3, 2, 8]"
24,editores.publishing,1,[45],[45]
114,edição.title,1,[44],[44]
115,eficaz.title,1,[76],[76]
48,elisa.author,1,[44],[44]
49,elizabeth.author,1,[96],[96]
50,eloisa.author,1,[93],[93]
51,emmanuel.author,1,[32],[32]
116,emoções.title,1,[49],[49]
117,endocrina.title,1,[75],[75]
118,enfermagem.title,1,[74],[74]
119,enriquece.title,2,"[62, 70]","[62, 8]"
120,ensinaram.title,1,[48],[48]
121,epistemologicos.title,1,[64],[64]
122,epílogo.title,1,[69],[69]
123,equilibrar.title,1,[49],[49]
124,eric.title,1,[86],[86]
52,eriko.author,1,[20],[20]
2,espanhol.language,1,[80],[80]
125,espanhol.title,2,"[47, 80]","[47, 33]"
126,esperança.title,1,[32],[32]
127,esperto.title,1,[59],[59]
128,essenciais.title,1,[49],[49]
